date,mobile_web,android
2021-11-30 0:00:00,0.05040,0.10495
2021-12-01 0:00:00,0.05032,0.10157
2021-12-02 0:00:00,0.04957,0.09962
2021-12-03 0:00:00,0.04971,0.09924
2021-12-04 0:00:00,0.05015,0.10636
2021-12-05 0:00:00,0.04867,0.10303
2021-12-06 0:00:00,0.05055,0.09856
2021-12-07 0:00:00,0.04385,0.10880
2021-12-08 0:00:00,0.04471,0.10510
2021-12-09 0:00:00,0.04785,0.09271
2021-12-10 0:00:00,0.04660,0.10482
2021-12-11 0:00:00,0.04773,0.10173
2021-12-12 0:00:00,0.05095,0.10024
2021-12-13 0:00:00,0.04634,0.10279
2021-12-14 0:00:00,0.04749,0.09665
2021-12-15 0:00:00,0.05019,0.11338
2021-12-16 0:00:00,0.04549,0.11450
2021-12-17 0:00:00,0.04986,0.10480
2021-12-18 0:00:00,0.05005,0.11126
2021-12-19 0:00:00,0.05292,0.11153
2021-12-20 0:00:00,0.05102,0.10935
2021-12-21 0:00:00,0.04650,0.11104
2021-12-22 0:00:00,0.05383,0.11222
2021-12-23 0:00:00,0.05071,0.11374
2021-12-24 0:00:00,0.04890,0.11081
2021-12-25 0:00:00,0.05174,0.11030
2021-12-26 0:00:00,0.05417,0.11356
2021-12-27 0:00:00,0.05228,0.11411
2021-12-28 0:00:00,0.04727,0.10883
2021-12-29 0:00:00,0.05112,0.12334
2021-12-30 0:00:00,0.05199,0.11649
2021-12-31 0:00:00,0.05743,0.11815
2022-01-01 0:00:00,0.05701,0.12240
2022-01-02 0:00:00,0.05149,0.11770
2022-01-03 0:00:00,0.05077,0.11371
2022-01-04 0:00:00,0.04703,0.11308
2022-01-05 0:00:00,0.04821,0.11216
2022-01-06 0:00:00,0.04949,0.11090
2022-01-07 0:00:00,0.04802,0.10996
2022-01-08 0:00:00,0.04828,0.11043
2022-01-09 0:00:00,0.04656,0.11445
2022-01-10 0:00:00,0.04866,0.10981
2022-01-11 0:00:00,0.05011,0.10767
2022-01-12 0:00:00,0.04854,0.11517
2022-01-13 0:00:00,0.05021,0.11021
2022-01-14 0:00:00,0.04732,0.11001
2022-01-15 0:00:00,0.05004,0.10718
2022-01-16 0:00:00,0.04957,0.10747
2022-01-17 0:00:00,0.04992,0.10086
2022-01-18 0:00:00,0.04890,0.10610
2022-01-19 0:00:00,0.04807,0.10251
2022-01-20 0:00:00,0.04678,0.10584
2022-01-21 0:00:00,0.04811,0.10358
2022-01-22 0:00:00,0.04665,0.10681
2022-01-23 0:00:00,0.04908,0.10821
2022-01-24 0:00:00,0.05058,0.10405
2022-01-25 0:00:00,0.05010,0.10670
2022-01-26 0:00:00,0.04995,0.10814
2022-01-27 0:00:00,0.04839,0.10945
2022-01-28 0:00:00,0.04777,0.10963
2022-01-29 0:00:00,0.05285,0.10875
2022-01-30 0:00:00,0.05310,0.11328
2022-01-31 0:00:00,0.05106,0.11536
2022-02-01 0:00:00,0.05466,0.11362
2022-02-02 0:00:00,0.04973,0.10648
2022-02-03 0:00:00,0.05327,0.11592
